"recipient","pic_seen","site_duration","spend","register"
1396,"Sharp Turn",11.3,18.82,1
1397,"Starting Line",28.61,14.5,0
1398,"Sharp Turn",11,24.02,0
1399,"Starting Line",22.21,14.5,1
1400,"Starting Line",18.31,15,0
1401,"Starting Line",18.31,12.9,0
1402,"Racers in Action",20.5,15.8,0
1403,"Racers in Action",24.8,17,1
1404,"Starting Line",24.21,15.6,1
1405,"Sharp Turn",10.8,17.52,0
1406,"Starting Line",16.21,11.8,1
1407,"Sharp Turn",11.3,19.42,0
1408,"Starting Line",28.81,13.8,0
1409,"Racers in Action",25.7,16.6,0
1410,"Starting Line",26.61,11.8,1
1411,"Racers in Action",22.7,15.3,1
1412,"Starting Line",17.71,11.9,0
1413,"Racers in Action",22.2,16.1,1
1414,"Starting Line",29.21,15.1,0
1415,"Starting Line",23.71,13.9,0
1416,"Sharp Turn",11.2,17.82,0
1417,"Sharp Turn",11.5,22.42,1
1418,"Racers in Action",21.9,16.8,0
1419,"Racers in Action",21.2,16.9,1
1420,"Racers in Action",22.4,16.9,0
1421,"Sharp Turn",11,20.42,1
1422,"Racers in Action",21.6,16.3,1
1423,"Starting Line",16.41,11.1,0
1424,"Sharp Turn",11.9,16.72,1
1425,"Starting Line",23.21,14.8,1
1426,"Racers in Action",24,18.3,0
1427,"Starting Line",19.81,14.4,0
1428,"Starting Line",25.61,13.3,0
1429,"Racers in Action",14.8,17.7,0
1430,"Sharp Turn",11.4,17.02,0
1431,"Sharp Turn",11,14.12,1
1432,"Starting Line",29.71,14.6,1
1433,"Sharp Turn",10.4,20.02,1
1434,"Racers in Action",21.9,17.1,0
1435,"Racers in Action",19.4,16.4,0
1436,"Starting Line",21.41,17.7,0
1437,"Starting Line",23.31,13.2,0
1438,"Sharp Turn",11.1,16.82,1
1439,"Starting Line",25.11,13.4,1
1440,"Sharp Turn",10.4,15.32,0
1441,"Sharp Turn",10.8,15.32,1
1442,"Racers in Action",25.7,15.7,1
1443,"Sharp Turn",10.9,19.42,0
1444,"Racers in Action",22.9,17.3,0
1445,"Racers in Action",22.3,17.4,1
1446,"Racers in Action",25.7,16.3,1
1447,"Racers in Action",26.2,17.9,0
1448,"Racers in Action",21.5,17.8,0
1449,"Sharp Turn",11.3,14.12,1
1450,"Racers in Action",17.5,17.4,0
1451,"Starting Line",30.01,13.9,1
1452,"Racers in Action",25.4,17.4,0
1453,"Racers in Action",22.4,16.1,1
1454,"Starting Line",29.11,15,1
1455,"Sharp Turn",10.7,19.92,0
1456,"Racers in Action",20.5,18.1,0
1457,"Sharp Turn",10.8,21.12,0
1458,"Starting Line",25.61,12,1
1459,"Sharp Turn",10.5,16.12,0
1460,"Starting Line",24.41,11.5,1
1461,"Starting Line",21.41,13.1,0
1462,"Sharp Turn",12.1,16.32,0
1463,"Starting Line",29.71,13,1
1464,"Sharp Turn",10.9,21.12,0
1465,"Starting Line",18.71,14,1
1466,"Racers in Action",24.2,17.5,0
1467,"Racers in Action",27.4,17.3,0
1468,"Starting Line",26.01,13.4,0
1469,"Starting Line",24.61,17.1,0
1470,"Sharp Turn",10,17.62,0
1471,"Sharp Turn",11.2,23.72,0
1472,"Starting Line",17.01,13.5,1
1473,"Sharp Turn",10.8,17.42,1
1474,"Starting Line",27.71,13.8,1
1475,"Starting Line",20.41,13,1
1476,"Sharp Turn",11.4,18.42,0
1477,"Starting Line",23.11,12.6,0
1478,"Racers in Action",21.5,16.7,1
1479,"Racers in Action",26.4,15.9,1
1480,"Starting Line",22.31,12.5,0
1481,"Sharp Turn",10.8,20.62,0
1482,"Sharp Turn",11.2,18.82,0
1483,"Racers in Action",21.9,16.2,1
1484,"Starting Line",28.01,14,0
1485,"Racers in Action",20.2,17.6,1
1486,"Racers in Action",24.4,16.8,1
1487,"Sharp Turn",10.3,19.32,0
1488,"Sharp Turn",11.1,15.62,0
1489,"Racers in Action",23.4,16.8,0
1490,"Sharp Turn",10.5,19.62,1
1491,"Starting Line",21.81,14.6,0
1492,"Starting Line",25.71,10.8,0
1493,"Sharp Turn",10.7,21.82,0
1494,"Sharp Turn",10.6,19.92,0
1495,"Sharp Turn",11.7,17.32,1
1496,"Starting Line",20.91,13.8,0
1497,"Racers in Action",26.3,14.3,1
1498,"Sharp Turn",12.2,17.12,0
1499,"Starting Line",22.31,16.8,1
1500,"Starting Line",23.51,12.2,0
1501,"Racers in Action",19.3,16.3,1
1502,"Racers in Action",22.7,16.7,0
1503,"Starting Line",32.11,12.4,0
1504,"Starting Line",25.41,16.4,1
1505,"Starting Line",23.31,15.6,0
1506,"Starting Line",20.91,12.6,1
1507,"Racers in Action",20.4,15.6,0
1508,"Sharp Turn",10.5,20.82,0
1509,"Starting Line",17.91,8.8,1
1510,"Sharp Turn",11.1,19.92,0
1511,"Racers in Action",20.4,15.7,1
1512,"Sharp Turn",11.1,20.02,0
1513,"Racers in Action",22.7,18,0
1514,"Racers in Action",22,16.9,0
1515,"Sharp Turn",10.4,17.22,1
1516,"Racers in Action",23.2,17.7,0
1517,"Starting Line",21.51,14.8,1
1518,"Racers in Action",20.4,16.7,0
1519,"Sharp Turn",11.2,17.72,1
1520,"Racers in Action",22.9,17,1
1521,"Starting Line",21.71,12.9,0
1522,"Racers in Action",23.1,16.3,0
1523,"Starting Line",22.01,15.6,0
1524,"Racers in Action",24.7,17.2,0
1525,"Racers in Action",20.6,15.9,1
1526,"Starting Line",20.81,15.9,0
1527,"Sharp Turn",11.2,18.52,1
1528,"Racers in Action",21.8,16.6,1
1529,"Sharp Turn",11.8,24.42,1
1530,"Sharp Turn",10.6,20.42,0
1531,"Starting Line",25.61,12.1,1
1532,"Racers in Action",20.9,14.3,1
1533,"Racers in Action",22.8,17.1,0
1534,"Starting Line",29.01,17.8,1
1535,"Racers in Action",21.6,16.9,0
1536,"Racers in Action",20.1,16.3,1
1537,"Starting Line",26.41,10.9,0
1538,"Sharp Turn",11.3,16.52,0
1539,"Racers in Action",26.8,17.5,0
1540,"Starting Line",26.11,14.1,0
1541,"Racers in Action",20.8,15.4,0
1542,"Racers in Action",20.7,17.5,1
1543,"Racers in Action",20,17.2,0
1544,"Sharp Turn",11.3,19.62,0
1545,"Starting Line",30.81,15.8,0
1546,"Starting Line",23.31,13.1,0
1547,"Sharp Turn",11.3,20.12,1
1548,"Starting Line",24.01,10.8,0
1549,"Starting Line",22.01,14.8,1
1550,"Starting Line",30.11,15.9,0
1551,"Sharp Turn",11.2,21.12,0
1552,"Starting Line",26.31,14.3,0
1553,"Starting Line",27.51,14.9,0
1554,"Sharp Turn",10.7,18.12,0
1555,"Sharp Turn",12.3,16.92,0
1556,"Racers in Action",23.2,17.5,0
1557,"Sharp Turn",11.2,17.22,0
1558,"Racers in Action",25.2,15.4,1
1559,"Starting Line",25.51,14,0
1560,"Sharp Turn",10.3,22.42,1
1561,"Sharp Turn",10.2,12.12,0
1562,"Starting Line",22.61,11.1,0
1563,"Racers in Action",20.1,16,0
1564,"Starting Line",18.91,15.4,0
1565,"Starting Line",24.41,14,0
1566,"Sharp Turn",11.2,20.02,0
1567,"Starting Line",26.31,9.8,0
1568,"Sharp Turn",9.9,18.12,0
1569,"Sharp Turn",11.5,16.42,1
1570,"Starting Line",23.01,12.2,0
1571,"Racers in Action",20.7,15.8,0
1572,"Sharp Turn",10.9,17.12,1
1573,"Racers in Action",24.9,17.1,1
1574,"Racers in Action",25.5,16.4,1
1575,"Starting Line",21.61,10.4,1
1576,"Sharp Turn",11.2,22.82,0
1577,"Starting Line",21.31,14.3,1
1578,"Racers in Action",23.1,16.9,0
1579,"Racers in Action",23.4,16.7,0
1580,"Sharp Turn",11.3,18.32,0
1581,"Sharp Turn",11.5,15.62,1
1582,"Sharp Turn",10.5,17.62,0
1583,"Racers in Action",23.6,16.9,0
1584,"Sharp Turn",10.4,19.92,1
1585,"Racers in Action",21.2,17.1,1
1586,"Starting Line",23.51,16.3,0
1587,"Starting Line",24.21,13.9,1
1588,"Sharp Turn",10.6,16.92,1
1589,"Starting Line",28.31,14.3,0
1590,"Starting Line",28.41,13.5,1
1591,"Sharp Turn",11.1,22.22,1
1592,"Sharp Turn",11.3,20.02,1
1593,"Racers in Action",25.9,17.8,1
1594,"Sharp Turn",11.9,19.32,0
1595,"Racers in Action",20.9,16.5,0
1596,"Sharp Turn",11.1,25.02,1
1597,"Starting Line",23.51,13,1
1598,"Racers in Action",23.4,16.7,0
1599,"Racers in Action",25,15.8,0
1600,"Racers in Action",20.8,17.7,1
1601,"Racers in Action",23.6,18.1,1
1602,"Sharp Turn",10.8,16.22,0
1603,"Starting Line",27.71,14.4,1
1604,"Sharp Turn",10.7,17.52,0
1605,"Racers in Action",24,17.2,0
1606,"Starting Line",18.71,17.5,0
1607,"Starting Line",23.91,12.7,0
1608,"Sharp Turn",10.6,25.02,0
1609,"Sharp Turn",11,20.02,0
1610,"Racers in Action",23.4,18,1
1611,"Sharp Turn",11,19.72,1
1612,"Starting Line",24.01,14.6,0
1613,"Sharp Turn",10.7,16.82,0
1614,"Racers in Action",22,17.1,1
1615,"Starting Line",19.81,14.4,1
1616,"Starting Line",27.51,13.7,1
1617,"Sharp Turn",10.9,16.72,0
1618,"Racers in Action",24.5,17.1,0
1619,"Sharp Turn",10.4,16.42,0
1620,"Sharp Turn",10.2,16.12,1
1621,"Sharp Turn",11.3,18.12,0
1622,"Sharp Turn",11.4,17.22,1
1623,"Starting Line",22.71,15.9,0
1624,"Starting Line",26.61,16,0
1625,"Starting Line",30.31,12.4,0
1626,"Starting Line",17.61,12.5,0
1627,"Starting Line",29.61,9.3,1
1628,"Starting Line",25.31,14.8,1
1629,"Racers in Action",23.2,17,1
1630,"Sharp Turn",11.4,21.62,0
1631,"Sharp Turn",10.6,16.92,1
1632,"Starting Line",25.21,12.7,0
1633,"Starting Line",15.01,14.5,0
1634,"Starting Line",21.11,15.7,0
1635,"Sharp Turn",10.5,25.22,0
1636,"Racers in Action",23.2,15.4,0
1637,"Racers in Action",20.2,16.7,0
1638,"Starting Line",27.91,14.5,0
1639,"Starting Line",27.61,8.8,0
1640,"Racers in Action",18.1,15.9,0
1641,"Racers in Action",21.6,17.2,1
1642,"Racers in Action",27.6,17.2,0
1643,"Starting Line",18.61,13.6,1
1644,"Starting Line",23.81,15.7,0
1645,"Starting Line",18.01,10.8,1
1646,"Sharp Turn",10.8,17.02,1
1647,"Racers in Action",21.2,16.4,1
1648,"Starting Line",27.41,12.9,0
1649,"Starting Line",22.31,15.4,0
1650,"Sharp Turn",10.2,15.32,0
1651,"Racers in Action",22.8,16.9,0
1652,"Starting Line",17.21,16.4,0
1653,"Starting Line",22.81,11.3,0
1654,"Sharp Turn",10.4,17.72,0
1655,"Starting Line",23.91,14.1,0
1656,"Starting Line",31.81,13.2,1
1657,"Sharp Turn",10.5,20.82,0
1658,"Starting Line",20.51,12.9,0
1659,"Sharp Turn",11.1,20.52,0
1660,"Starting Line",22.41,14,0
1661,"Sharp Turn",10.9,20.32,0
1662,"Starting Line",26.31,15.9,0
1663,"Starting Line",19.91,16.3,0
1664,"Starting Line",25.61,13.3,1
1665,"Starting Line",30.11,14.3,0
1666,"Racers in Action",23,16.9,0
1667,"Sharp Turn",10.8,17.92,0
1668,"Sharp Turn",10.7,19.02,1
1669,"Starting Line",20.61,15.8,0
1670,"Starting Line",22.81,16.4,0
1671,"Starting Line",19.31,13.6,0
1672,"Sharp Turn",11.6,18.92,1
1673,"Starting Line",27.01,12.4,0
1674,"Sharp Turn",10.9,16.42,1
1675,"Racers in Action",22.7,16.5,1
1676,"Sharp Turn",11.8,17.42,1
1677,"Sharp Turn",10.7,17.42,0
1678,"Sharp Turn",10.7,15.92,0
1679,"Sharp Turn",10.9,19.62,0
1680,"Sharp Turn",10.5,22.42,0
1681,"Racers in Action",26,17.3,1
1682,"Racers in Action",23.8,16.7,0
1683,"Racers in Action",20.4,18.1,0
1684,"Sharp Turn",11.7,20.22,0
1685,"Starting Line",24.41,15.5,0
1686,"Starting Line",32.61,14.2,0
1687,"Racers in Action",23.4,17.2,0
1688,"Starting Line",24.71,13.6,0
1689,"Starting Line",24.91,13.4,0
1690,"Racers in Action",21.7,16.3,0
1691,"Sharp Turn",10.4,20.02,0
1692,"Sharp Turn",11,21.62,0
1693,"Starting Line",28.21,15.8,0
1694,"Sharp Turn",10.8,20.42,0
1695,"Racers in Action",20.9,16.2,0
1696,"Racers in Action",20.8,16.6,1
1697,"Starting Line",19.91,15.1,0
1698,"Starting Line",28.21,17.7,1
1699,"Starting Line",21.81,16.4,0
1700,"Starting Line",25.81,13.3,0
1701,"Sharp Turn",10.4,21.12,0
1702,"Sharp Turn",10.7,18.22,1
1703,"Sharp Turn",10.7,17.72,0
1704,"Racers in Action",21.8,16.6,0
1705,"Sharp Turn",10.2,18.82,1
1706,"Sharp Turn",10.7,19.32,0
1707,"Starting Line",21.21,16,0
1708,"Starting Line",19.11,11.7,0
1709,"Sharp Turn",12,15.92,0
1710,"Sharp Turn",11.1,20.22,0
1711,"Racers in Action",27.5,16.9,0
1712,"Sharp Turn",11.7,20.72,0
1713,"Racers in Action",22.1,16,1
1714,"Racers in Action",27.1,15.6,1
1715,"Sharp Turn",10.3,19.22,0
1716,"Racers in Action",23.3,14.6,1
1717,"Starting Line",23.01,16.8,0
1718,"Starting Line",30.41,15.3,1
1719,"Starting Line",28.01,14.4,0
1720,"Starting Line",20.81,13.5,0
1721,"Starting Line",23.91,15.8,0
1722,"Sharp Turn",11.4,17.42,1
1723,"Sharp Turn",10.6,16.82,0
1724,"Racers in Action",22.6,15.3,1
1725,"Starting Line",18.81,16.1,0
1726,"Starting Line",31.51,14.6,0
1727,"Starting Line",25.41,16.1,0
1728,"Racers in Action",22.9,17.4,0
1729,"Sharp Turn",11.2,21.02,0
1730,"Starting Line",25.81,13.9,1
1731,"Sharp Turn",11,17.02,0
1732,"Sharp Turn",10.5,25.52,1
1733,"Starting Line",19.01,16.6,1
1734,"Sharp Turn",10.9,18.52,0
1735,"Racers in Action",24.3,15.6,0
1736,"Racers in Action",23.8,16,0
1737,"Starting Line",24.31,13.9,0
1738,"Starting Line",29.71,15.1,1
1739,"Starting Line",19.31,14.2,1
1740,"Sharp Turn",11.2,20.52,0
1741,"Sharp Turn",10.6,18.12,0
1742,"Sharp Turn",11.3,19.82,1
1743,"Racers in Action",23.9,15.2,1
1744,"Racers in Action",24.5,15.4,0
1745,"Racers in Action",22.7,17.9,1
1746,"Starting Line",23.91,16.1,1
1747,"Racers in Action",19.9,16.6,0
1748,"Racers in Action",19.5,16.5,1
1749,"Racers in Action",21,17.2,1
1750,"Starting Line",28.11,14.1,1
1751,"Sharp Turn",11.7,17.02,0
1752,"Racers in Action",25.9,16.4,0
1753,"Racers in Action",24.8,17.5,0
1754,"Racers in Action",25.6,18.3,1
1755,"Starting Line",18.31,13.2,1
1756,"Sharp Turn",10.5,18.92,1
1757,"Racers in Action",25.5,17.7,0
1758,"Racers in Action",23,16,1
1759,"Sharp Turn",10.5,14.82,0
1760,"Sharp Turn",11.2,21.22,0
1761,"Starting Line",23.51,15.8,0
1762,"Starting Line",24.31,13.4,1
1763,"Sharp Turn",10.5,19.52,1
1764,"Sharp Turn",11.2,17.82,1
1765,"Starting Line",27.21,11.1,0
1766,"Racers in Action",24,17.2,1
1767,"Racers in Action",27,16.2,0
1768,"Sharp Turn",10,15.82,1
1769,"Racers in Action",24.4,14.8,0
1770,"Racers in Action",23.3,16.6,1
1771,"Sharp Turn",11.3,21.12,0
1772,"Starting Line",20.51,15.7,0
1773,"Starting Line",23.61,16.5,0
1774,"Starting Line",23.31,12.2,0
1775,"Racers in Action",23.9,15.7,0
1776,"Starting Line",23.11,16.6,0
1777,"Starting Line",25.61,16,1
1778,"Sharp Turn",11.6,13.72,0
1779,"Sharp Turn",11.6,17.22,0
1780,"Racers in Action",24.5,16.1,1
1781,"Starting Line",27.71,13.2,1
1782,"Racers in Action",23.9,16.7,1
1783,"Sharp Turn",11,19.12,0
1784,"Racers in Action",20.7,18.3,1
1785,"Starting Line",25.51,13.5,1
1786,"Starting Line",24.31,15.6,0
1787,"Sharp Turn",11.1,18.12,1
1788,"Sharp Turn",11.2,19.92,0
1789,"Racers in Action",18.7,15.9,1
1790,"Starting Line",27.21,12.8,1
1791,"Racers in Action",23,17.5,1
1792,"Racers in Action",19.7,16.4,1
1793,"Racers in Action",21.3,17.5,0
1794,"Sharp Turn",11,18.62,0
1795,"Sharp Turn",11.1,17.02,1
1796,"Racers in Action",20.5,16.8,1
1797,"Sharp Turn",11.2,19.02,1
1798,"Sharp Turn",11.2,19.42,0
1799,"Sharp Turn",10.3,21.32,0
1800,"Racers in Action",24.7,17.9,0
1801,"Sharp Turn",10.6,18.32,0
1802,"Sharp Turn",11.3,14.92,0
1803,"Starting Line",21.31,13.6,0
1804,"Racers in Action",24.8,17.4,0
1805,"Sharp Turn",11.3,15.62,1
1806,"Starting Line",27.11,12.8,0
1807,"Racers in Action",19.1,16.8,0
1808,"Racers in Action",20.7,16.8,0
1809,"Racers in Action",22.3,15,0
1810,"Racers in Action",23.5,16.8,0
1811,"Sharp Turn",11.6,17.12,0
1812,"Starting Line",35.71,16.1,0
1813,"Racers in Action",18.5,17.2,0
1814,"Starting Line",25.51,15.4,0
1815,"Racers in Action",22.3,17.6,1
1816,"Starting Line",27.21,15.2,0
1817,"Sharp Turn",11.1,17.72,0
1818,"Starting Line",16.91,14.1,1
1819,"Sharp Turn",11.9,20.12,1
1820,"Racers in Action",20.1,15.6,1
1821,"Racers in Action",22.6,17.3,0
1822,"Sharp Turn",10.3,15.62,0
1823,"Sharp Turn",11.1,20.12,0
1824,"Racers in Action",17.1,17.9,0
1825,"Sharp Turn",11.1,17.92,1
1826,"Starting Line",24.51,15.5,0
1827,"Racers in Action",19.5,15,0
1828,"Sharp Turn",10.4,16.52,0
1829,"Sharp Turn",11,21.62,0
1830,"Sharp Turn",11,20.72,0
1831,"Racers in Action",22.4,16.9,1
1832,"Sharp Turn",10.8,20.92,0
1833,"Sharp Turn",12,19.32,0
1834,"Starting Line",24.61,14.5,0
1835,"Sharp Turn",11.6,15.82,1
1836,"Starting Line",21.31,13.7,1
1837,"Racers in Action",27.1,16.2,0
1838,"Starting Line",20.11,13.8,0
1839,"Starting Line",21.81,10.7,1
1840,"Racers in Action",22,18.4,0
1841,"Starting Line",28.31,15.8,1
1842,"Starting Line",26.41,14,1
1843,"Sharp Turn",11.1,15.32,0
1844,"Sharp Turn",10.3,19.02,0
1845,"Racers in Action",21.6,17.1,1
1846,"Racers in Action",22,17.7,0
1847,"Racers in Action",23.8,16.6,1
1848,"Sharp Turn",12.1,17.12,0
1849,"Racers in Action",22.2,16.4,0
1850,"Starting Line",30.91,12.7,0
1851,"Racers in Action",22.4,16.8,0
1852,"Sharp Turn",11.2,13.02,0
1853,"Starting Line",28.81,12.1,1
1854,"Racers in Action",28.1,17.5,1
1855,"Sharp Turn",10.5,18.32,0
1856,"Starting Line",17.51,13.2,0
1857,"Racers in Action",23.5,16.2,0
1858,"Racers in Action",21.9,16.4,1
1859,"Sharp Turn",11,18.72,0
1860,"Sharp Turn",12,20.82,0
1861,"Sharp Turn",10.5,20.62,0
1862,"Starting Line",31.81,16.3,0
1863,"Sharp Turn",10.8,17.12,0
1864,"Starting Line",26.11,12.4,0
1865,"Sharp Turn",10.6,17.02,1
1866,"Racers in Action",19.9,16.7,0
1867,"Racers in Action",20.6,16,0
1868,"Starting Line",26.81,15.3,0
1869,"Starting Line",24.31,10.8,0
1870,"Racers in Action",24.9,17.2,1
1871,"Starting Line",21.21,13.3,1
1872,"Sharp Turn",11,18.92,0
1873,"Sharp Turn",10.7,19.72,1
1874,"Starting Line",33.01,12.2,0
1875,"Sharp Turn",11.9,21.32,0
1876,"Racers in Action",24.9,17.6,1
1877,"Sharp Turn",11.6,19.32,1
1878,"Starting Line",25.11,14.7,1
1879,"Sharp Turn",11.5,20.52,1
1880,"Racers in Action",24.9,17.4,0
1881,"Sharp Turn",11,17.22,0
1882,"Sharp Turn",11.6,20.12,0
1883,"Starting Line",27.11,11.4,0
1884,"Starting Line",25.51,12.9,0
1885,"Starting Line",21.01,13.1,0
1886,"Racers in Action",19.7,16.2,1
1887,"Starting Line",26.71,13.7,1
1888,"Sharp Turn",11.5,21.32,0
1889,"Starting Line",25.51,11.6,1
1890,"Racers in Action",26.7,16.8,1
1891,"Racers in Action",28.3,19.2,1
1892,"Sharp Turn",11,23.42,1
1893,"Sharp Turn",11.3,21.02,0
1894,"Sharp Turn",10.2,21.42,0
1895,"Sharp Turn",11.4,18.22,0
1896,"Racers in Action",22.5,16.2,1
1897,"Starting Line",28.61,14.9,0
1898,"Racers in Action",19.7,16.1,1
1899,"Racers in Action",22.8,16.6,0
1900,"Sharp Turn",10.2,17.22,1
1901,"Sharp Turn",11.1,16.52,0
1902,"Sharp Turn",11.2,13.72,0
1903,"Racers in Action",22.9,17,1
1904,"Sharp Turn",11.9,20.92,0
1905,"Sharp Turn",11,18.82,1
1906,"Sharp Turn",11.1,19.72,0
1907,"Racers in Action",22,17.7,1
1908,"Racers in Action",22.3,16.8,0
1909,"Sharp Turn",10.5,22.42,1
1910,"Starting Line",22.31,15.9,1
1911,"Starting Line",27.91,11.9,0
1912,"Starting Line",18.41,15.5,0
1913,"Sharp Turn",11.4,20.82,1
1914,"Starting Line",24.91,12.8,0
1915,"Starting Line",17.01,13.3,0
1916,"Racers in Action",26,16.3,1
1917,"Starting Line",24.41,15.4,0
1918,"Racers in Action",21.8,17,0
1919,"Racers in Action",22.9,15.9,1
1920,"Starting Line",24.31,12.2,0
1921,"Starting Line",26.61,12.8,0
1922,"Racers in Action",22.4,15.6,0
1923,"Racers in Action",23.9,17.2,0
1924,"Racers in Action",20.8,17.8,1
1925,"Sharp Turn",10.6,19.62,0
1926,"Racers in Action",21.5,17.5,0
1927,"Starting Line",21.51,17.1,0
1928,"Racers in Action",21.4,16.8,1
1929,"Racers in Action",23.9,16.9,1
1930,"Starting Line",21.61,15.1,0
1931,"Sharp Turn",11.2,19.82,0
1932,"Sharp Turn",10.5,18.02,0
1933,"Sharp Turn",11.1,16.52,0
1934,"Sharp Turn",10,19.82,0
1935,"Starting Line",29.21,13.1,0
1936,"Starting Line",21.11,15.3,1
1937,"Racers in Action",24.1,17.1,1
1938,"Racers in Action",21.8,16.9,0
1939,"Starting Line",22.81,15.4,0
1940,"Sharp Turn",11.7,19.02,1
1941,"Racers in Action",23.2,16.5,1
1942,"Racers in Action",24.8,16.8,0
1943,"Starting Line",27.41,15.2,1
1944,"Sharp Turn",12.2,17.62,0
1945,"Starting Line",21.31,13,0
1946,"Starting Line",21.21,15.5,1
1947,"Racers in Action",20.8,16.6,1
1948,"Racers in Action",21.3,17.6,1
1949,"Racers in Action",24.7,15.8,0
1950,"Starting Line",22.01,15,1
1951,"Starting Line",29.81,18.5,1
1952,"Racers in Action",24.4,15.3,0
1953,"Starting Line",24.61,15.3,1
1954,"Starting Line",18.51,13.9,0
1955,"Starting Line",29.81,13.8,0
1956,"Starting Line",27.81,16,0
1957,"Sharp Turn",11.8,20.12,1
1958,"Sharp Turn",10.8,17.52,0
1959,"Starting Line",30.61,14.7,0
1960,"Sharp Turn",10.3,18.82,0
1961,"Racers in Action",20,16,1
1962,"Racers in Action",24.7,17.2,0
1963,"Starting Line",24.01,12.2,1
1964,"Sharp Turn",10.8,19.92,1
1965,"Sharp Turn",11.6,18.62,0
1966,"Racers in Action",29.9,16.9,0
1967,"Sharp Turn",11,18.92,1
1968,"Sharp Turn",11.4,17.92,0
1969,"Racers in Action",21,17.2,0
1970,"Racers in Action",25.4,17.5,0
1971,"Racers in Action",26,17.5,1
1972,"Sharp Turn",11.3,19.52,0
1973,"Sharp Turn",10.3,18.32,0
1974,"Racers in Action",23.2,15.5,0
1975,"Sharp Turn",10.3,17.52,1
1976,"Starting Line",17.31,19.1,0
1977,"Sharp Turn",11.8,22.02,0
1978,"Racers in Action",25.4,16.3,1
1979,"Racers in Action",22.2,17.3,0
1980,"Racers in Action",22.1,15,0
1981,"Starting Line",23.31,15.2,0
1982,"Starting Line",18.91,13.4,0
1983,"Racers in Action",19.5,15.7,0
1984,"Racers in Action",22.4,17.2,1
1985,"Sharp Turn",10.8,18.02,1
1986,"Starting Line",21.61,10,1
1987,"Racers in Action",23.3,16.4,0
1988,"Sharp Turn",10.6,21.12,1
1989,"Starting Line",20.71,11.7,0
1990,"Starting Line",28.01,15.9,0
1991,"Starting Line",24.31,17.5,0
1992,"Sharp Turn",11.2,18.42,0
1993,"Starting Line",31.01,16.4,0
1994,"Sharp Turn",11.3,21.82,0
1995,"Sharp Turn",11.4,17.92,0
1996,"Starting Line",22.51,14.2,1
1997,"Starting Line",31.31,12.2,0
1998,"Sharp Turn",10.6,20.72,0
1999,"Starting Line",23.61,14.7,1
2000,"Sharp Turn",11.2,21.72,1
2001,"Sharp Turn",10.9,16.42,1
2002,"Starting Line",23.01,13.4,0
2003,"Sharp Turn",10.6,20.82,1
2004,"Starting Line",27.11,10.8,0
2005,"Starting Line",24.91,12.8,0
2006,"Starting Line",17.51,15.1,0
2007,"Sharp Turn",10.8,17.42,1
2008,"Racers in Action",24.7,17.2,1
2009,"Starting Line",32.21,14.2,0
2010,"Racers in Action",21.2,16.6,1
2011,"Starting Line",30.01,9.1,0
2012,"Starting Line",20.01,13,0
2013,"Starting Line",21.71,15.6,1
2014,"Starting Line",19.41,17.9,0
2015,"Starting Line",27.31,9.4,0
2016,"Sharp Turn",10.6,16.32,0
2017,"Racers in Action",19.9,15.9,0
2018,"Sharp Turn",10.5,12.92,1
2019,"Sharp Turn",11.9,19.72,0
2020,"Starting Line",21.61,16.2,1
2021,"Sharp Turn",11.6,16.32,0
2022,"Sharp Turn",10.7,19.92,0
2023,"Racers in Action",23.6,16.7,0
2024,"Sharp Turn",10.4,18.52,0
2025,"Racers in Action",23.5,17.4,0
2026,"Racers in Action",22.8,16.5,0
2027,"Sharp Turn",11.6,18.12,0
2028,"Sharp Turn",10.9,19.42,1
2029,"Starting Line",26.11,14.1,1
2030,"Starting Line",26.61,9.5,0
2031,"Sharp Turn",11.6,21.82,0
2032,"Sharp Turn",11,18.02,0
2033,"Racers in Action",20.3,17,0
2034,"Starting Line",25.41,11.5,0
2035,"Starting Line",35.21,13,0
2036,"Racers in Action",20.3,17,1
2037,"Sharp Turn",11.4,18.62,0
2038,"Racers in Action",21.7,17.3,1
2039,"Sharp Turn",12,17.72,0
2040,"Sharp Turn",10.7,16.12,1
2041,"Sharp Turn",11.5,14.02,0
2042,"Sharp Turn",11.4,16.82,0
2043,"Starting Line",29.81,12.8,1
2044,"Sharp Turn",11,23.72,1
2045,"Starting Line",26.51,18,0
2046,"Sharp Turn",10.5,21.12,0
2047,"Racers in Action",25.1,17.3,0
2048,"Sharp Turn",11.1,17.72,1
2049,"Racers in Action",26,15.2,0
2050,"Starting Line",32.31,11.5,0
2051,"Sharp Turn",11.4,17.82,1
2052,"Starting Line",22.01,12.3,1
2053,"Sharp Turn",11.6,19.52,1
2054,"Racers in Action",23,16.1,0
2055,"Sharp Turn",10.6,16.02,0
2056,"Sharp Turn",11.5,17.72,0
2057,"Racers in Action",23.3,15.1,0
2058,"Starting Line",20.61,12.4,0
2059,"Sharp Turn",10.5,17.92,0
2060,"Starting Line",24.51,15.8,0
2061,"Sharp Turn",11.1,16.62,0
2062,"Sharp Turn",10.9,12.72,1
2063,"Sharp Turn",11.4,22.12,0
2064,"Sharp Turn",10.5,17.92,0
2065,"Sharp Turn",10.6,17.92,1
2066,"Racers in Action",26.2,18.2,0
2067,"Sharp Turn",11,23.92,0
2068,"Racers in Action",22.3,17,1
2069,"Starting Line",23.61,11.6,1
